Space System Name,Service,Command Name,Field Type,Parameter,Select From,Size,,,,,,,,
/Delfi-PQ,Ping,Ping,Command,,,,,/Delfi-PQ,Housekeeping,Housekeeping,Command,,,
,,,Argument,Service,[17],8,,,,,Argument,Service,[3],8
,,,Argument,Request,[1],8,,,,,Argument,Request,[1],8
/Delfi-PQ/COMMS,Radio,SimpleRadioOps,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SimpleRadioOps,"[1,2,5,10,11,12,99]",8,,,,,,,,
/Delfi-PQ/COMMS,Radio,GetRXFrameNr,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[3],8,,,,,,,,
/Delfi-PQ/COMMS,Radio,GetRXFrame,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[4],8,,,,,,,,
/Delfi-PQ/COMMS,Radio,GetRX_RSSI,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[6],8,,,,,,,,
/Delfi-PQ/COMMS,Radio,GetRXLast_RSSI,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[7],8,,,,,,,,
/Delfi-PQ/COMMS,Radio,GetRX_Freq_Error,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[8],8,,,,,,,,
/Delfi-PQ/COMMS,Radio,SetTXIdleState,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[13],8,,,,,,,,
,,,Argument,Idle,"[0,1]",8,,,,,,,,
/Delfi-PQ/COMMS,Radio,SetTXBitRate,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[14],8,,,,,,,,
,,,Argument,TXBitRate,"[1200,9600]",16,,,,,,,,
/Delfi-PQ/COMMS,Radio,SetRXBitRate,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[24],8,,,,,,,,
,,,Argument,RXBitRate,"[1200,9600]",16,,,,,,,,
/Delfi-PQ/COMMS,Radio,SetRadioPA,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[15],8,,,,,,,,
,,,Argument,PAMode,"[0,1,2]",8,,,,,,,,
/Delfi-PQ/COMMS,Radio,SetTXPower,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[16],8,,,,,,,,
,,,Argument,Power,[14],8,,,,,,,,
/Delfi-PQ/COMMS,Radio,SendFrameToItself,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[9],8,,,,,,,,
,,,Argument,RadioMessageType,"[170,1]",8,,,,,,,,
,,,Argument,SingleBytePadding,[0],8,,,,,,,,
,,,Argument,SingleBytePadding,[17],8,,,,,,,,
,,,Argument,SingleBytePadding,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[0],8,,,,,,,,
,,,Argument,SingleBytePadding,[0],8,,,,,,,,
/Delfi-PQ/COMMS,Radio,SendFrameToOBC,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[9],8,,,,,,,,
,,,Argument,RadioMessageType,"[2,3]",8,,,,,,,,
,,,Argument,Destination,[1],8,,,,,,,,
,,,Argument,MessageSize,[5],8,,,,,,,,
,,,Argument,Source,[4],8,,,,,,,,
,,,Argument,SingleBytePadding,[17],8,,,,,,,,
,,,Argument,SingleBytePadding,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[0],8,,,,,,,,
,,,Argument,SingleBytePadding,[0],8,,,,,,,,
/Delfi-PQ/COMMS,Radio,SetTXFreq,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[18],8,,,,,,,,
,,,Argument,TXFreq,"[145000000, 435000000]",32,,,,,,,,
/Delfi-PQ/COMMS,Radio,SetRXFreq,Command,,,,,,,,,,,
,,,Argument,Service,[25],8,,,,,,,,
,,,Argument,Request,[1],8,,,,,,,,
,,,Argument,SingleBytePadding,[28],8,,,,,,,,
,,,Argument,RXFreq,"[145000000, 435000000]",32,,,,,,,,
