Space System Name,Service,Command Name,Field Type,Parameter Name,,,,,,,
/Delfi-PQ,Ping,Ping,Reply,,,,/Delfi-PQ/COMMS,Housekeeping,Housekeeping,Reply,
,,,Argument,Service,,,,,,Argument,Service
,,,Argument,Request,,,,,,Argument,Request
/Delfi-PQ,Reset,Reset,Reply,,,,,,,Argument,Status
,,,Argument,Service,,,,,,Argument,BootCounter
,,,Argument,Request,,,,,,Argument,ResetCause
,,,Argument,ResetReply,,,,,,Argument,Uptime
/Delfi-PQ/COMMS,Radio,SimpleRadioOps,Reply,,,,,,,Argument,TotalUptime
,,,Argument,Service,,,,,,Argument,VersionNumber
,,,Argument,Request,,,,,,Argument,MCUTemp
,,,Argument,RadioReply,,,,,,Argument,INAStatus
/Delfi-PQ/COMMS,Radio,GetRXFrameNr,Reply,,,,,,,Argument,TMPStatus
,,,Argument,Service,,,,,,Argument,TransmitINAStatus
,,,Argument,Request,,,,,,Argument,AmplifierINAStatus
,,,Argument,RadioReply,,,,,,Argument,PhasingTMPStatus
,,,Argument,RXFrameNumber,,,,,,Argument,AmplifierTMPStatus
/Delfi-PQ/COMMS,Radio,GetRXFrame,Reply,,,,,,,Argument,SingleBitPadding
,,,Argument,Service,,,,,,Argument,SingleBitPadding
,,,Argument,Request,,,,,,Argument,Voltage
,,,Argument,RadioReply,,,,,,Argument,Current
,,,Argument,Frame,,,,,,Argument,Temperature
/Delfi-PQ/COMMS,Radio,GetRX_RSSI,Reply,,,,,,,Argument,ReceiverRSSI
,,,Argument,Service,,,,,,Argument,TransmitVoltage
,,,Argument,Request,,,,,,Argument,TransmitCurrent
,,,Argument,RadioReply,,,,,,Argument,AmplifierVoltage
,,,Argument,ReceiverRSSI,,,,,,Argument,AmplifierCurrent
/Delfi-PQ/COMMS,Radio,GetRXLast_RSSI,Reply,,,,,,,Argument,PhasingTemperature
,,,Argument,Service,,,,,,Argument,AmplifierTemperature
,,,Argument,Request,,,,,,,
,,,Argument,RadioReply,,,,,,,
,,,Argument,LastReceiverRSSI,,,,,,,
/Delfi-PQ/COMMS,Radio,GetRX_Freq_Error,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,RadioReply,,,,,,,
,,,Argument,LastFreqError,,,,,,,
/Delfi-PQ/COMMS,Radio,SetTXIdleState,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,RadioReply,,,,,,,
/Delfi-PQ/COMMS,Radio,SetTXBitRate,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,RadioReply,,,,,,,
/Delfi-PQ/COMMS,Radio,SetRXBitRate,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,RadioReply,,,,,,,
/Delfi-PQ/COMMS,Radio,SetRadioPA,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,RadioReply,,,,,,,
/Delfi-PQ/COMMS,Radio,SetTXPower,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
/Delfi-PQ/COMMS,Radio,SendFrameToItself,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,RadioReply,,,,,,,
/Delfi-PQ/COMMS,Radio,SendFrameToOBC,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,RadioReply,,,,,,,
/Delfi-PQ/COMMS,Radio,SetTXFreq,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SingleBytePadding,,,,,,,
,,,Argument,RadioReply,,,,,,,
/Delfi-PQ/COMMS,Radio,SetRXFreq,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SingleBytePadding,,,,,,,
,,,Argument,RadioReply,,,,,,,
/Delfi-PQ,SoftwareUpdate,StartOTA1,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SoftwareUpdateReply,,,,,,,
/Delfi-PQ,SoftwareUpdate,StartOTA2,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SoftwareUpdateReply,,,,,,,
/Delfi-PQ,SoftwareUpdate,SetMetaData,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SoftwareUpdateReply,,,,,,,
/Delfi-PQ,SoftwareUpdate,GetMetaData,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SoftwareUpdateReply,,,,,,,
,,,Argument,SlotUpdating,,,,,,,
,,,Argument,MD5Correct,,,,,,,
,,,Argument,PartialCRCReceived,,,,,,,
,,,Argument,MetaDataReceived,,,,,,,
,,,Argument,EraseFlag,,,,,,,
,,,Argument,UpdateFlag,,,,,,,
,,,Argument,SlotStatus,,,,,,,
/Delfi-PQ,SoftwareUpdate,SetPartialCRCs,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SoftwareUpdateReply,,,,,,,
/Delfi-PQ,SoftwareUpdate,SetBlocks,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SoftwareUpdateReply,,,,,,,
/Delfi-PQ,SoftwareUpdate,CheckMD5,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SoftwareUpdateReply,,,,,,,
,,,Argument,MD5Equal,,,,,,,
/Delfi-PQ,SoftwareUpdate,StopOTA,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SoftwareUpdateReply,,,,,,,
/Delfi-PQ,SoftwareUpdate,EraseSlot1,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SoftwareUpdateReply,,,,,,,
/Delfi-PQ,SoftwareUpdate,EraseSlot2,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SoftwareUpdateReply,,,,,,,
/Delfi-PQ,SoftwareUpdate,GetVersionNr,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SoftwareUpdateReply,,,,,,,
,,,Argument,VersionNumberInOTA,,,,,,,
/Delfi-PQ,SoftwareUpdate,GetMissedBlocks,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SoftwareUpdateReply,,,,,,,
,,,,,,,,,,,
/Delfi-PQ,SoftwareUpdate,GetMissedCRCs,Reply,,,,,,,,
,,,Argument,Service,,,,,,,
,,,Argument,Request,,,,,,,
,,,Argument,SoftwareUpdateReply,,,,,,,
,,,Argument,Frame,,,,,,,
